Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Feb 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  940.44,  3.2%,  1.6%,104.4
Mar 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  922.75, -1.9%, -0.3%,102.5
Apr 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  937.69,  1.6%,  5.4%,104.1
May 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  933.43, -0.5%,  4.1%,103.7
Jun 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  919.45, -1.5%,  2.5%,102.1
Jul 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  870.44, -5.3%, -1.3%, 96.7
Aug 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  896.97,  3.0%, -1.7%, 99.6
Sep 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  958.60,  6.9%,  8.4%,106.5
Oct 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  916.27, -4.4%, -3.9%,101.8
Nov 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  891.01, -2.8%, -1.1%, 99.0
Dec 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  919.64,  3.2%, -1.3%,102.1
Jan 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  903.90, -1.7%, -0.8%,100.4
Feb 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  917.91,  1.5%, -2.4%,101.9
Mar 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  922.20,  0.5%, -0.1%,102.4
Apr 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  940.56,  2.0%,  0.3%,104.5
May 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  916.50, -2.6%, -1.8%,101.8
Jun 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  908.01, -0.9%, -1.2%,100.8
Jul 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  945.27,  4.1%,  8.6%,105.0
Aug 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  966.27,  2.2%,  7.7%,107.3
Sep 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  979.14,  1.3%,  2.1%,108.7
Oct 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,005.60",  2.7%,  9.7%,111.7
Nov 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  997.15, -0.8%, 11.9%,110.7
Dec 2013,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,003.26",  0.6%,  9.1%,111.4
Jan 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  962.60, -4.1%,  6.5%,106.9
Feb 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  941.16, -2.2%,  2.5%,104.5
Mar 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  973.41,  3.4%,  5.6%,108.1
Apr 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  984.19,  1.1%,  4.6%,109.3
May 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,041.62",  5.8%, 13.7%,115.7
Jun 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,071.83",  2.9%, 18.0%,119.0
Jul 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,070.17", -0.2%, 13.2%,118.9
Aug 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,023.96", -4.3%,  6.0%,113.7
Sep 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  988.80, -3.4%,  1.0%,109.8
Oct 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  978.07, -1.1%, -2.7%,108.6
Nov 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,020.31",  4.3%,  2.3%,113.3
Dec 2014,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,022.85",  0.2%,  2.0%,113.6
Jan 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  955.76, -6.6%, -0.7%,106.1
Feb 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,036.03",  8.4%, 10.1%,115.1
Mar 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  964.13, -6.9%, -1.0%,107.1
Apr 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,010.37",  4.8%,  2.7%,112.2
May 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,032.42",  2.2%, -0.9%,114.7
Jun 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,048.53",  1.6%, -2.2%,116.5
Jul 2015,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,"$1,056.40",  0.8%, -1.3%,117.3
